,Unnamed: 0,id,name,latitude,longitude,rankingDenominator,rankingPosition,rating,numberofReviews,lat,lon,competitors,accessibility,touristic attractions,unattractiveness
164,164,5107599,Asa Sushi,49.2345,-123.15795,3031,612,4.5,36,49.2345,-123.15795,16,16,0,16
165,165,4316778,Duffin's Donuts,49.23294,-123.077545,3031,613,4.0,49,49.23294,-123.077545,0,0,0,0
166,166,3803836,Green Leaf Sushi,49.264233,-123.1801,3031,615,4.0,69,49.264233,-123.1801,18,18,1,18
167,167,2084654,Lin Chinese Cuisine,49.26338,-123.14531,3031,616,4.0,93,49.26338,-123.14531,10,10,2,10
168,168,972806,Roundel Cafe,49.281258,-123.055336,3031,618,4.5,40,49.281258,-123.055336,16,16,0,16
169,169,5087149,Maria's Taverna,49.26806,-123.15812,3031,617,4.0,87,49.26806,-123.15812,12,12,2,12
170,170,1892409,Las Tortas,49.2554,-123.11561,3031,622,4.5,36,49.2554,-123.11561,15,15,1,15
171,171,1940605,Chili Pepper House,49.236195,-123.04192,3031,630,4.0,59,49.236195,-123.04192,5,5,0,5
172,172,10037013,The Lobster Man,49.271397,-123.13632,3031,624,4.5,28,49.271397,-123.13632,11,11,5,11
173,173,1065683,Harambe,49.265583,-123.06988,3031,626,4.0,65,49.265583,-123.06988,20,20,0,20
174,174,13164103,H Tasting Lounge,49.292187,-123.12863,3031,625,4.0,42,49.292187,-123.12863,7,7,9,7
175,175,8121718,Sushi Yan Restaurant,49.284874,-123.12443,3031,623,4.0,41,49.284874,-123.12443,49,49,9,49
176,176,15116672,Mary's On Davie,49.28173,-123.133514,3031,621,4.0,48,49.28173,-123.133514,24,24,8,24
177,177,12953063,49th Parallel,49.285984,-123.12267,3031,628,4.0,47,49.285984,-123.12267,53,53,9,53
178,178,8358041,Matchstick Coffee Roasters,49.278587,-123.0994,3031,629,4.5,39,49.278587,-123.0994,32,32,6,32
179,179,4853791,Romano's Pizza,49.280262,-123.12145,3031,627,4.0,50,49.280262,-123.12145,53,53,8,53
180,180,2642685,Anatolia Express,49.28956,-123.11501,3031,631,4.5,39,49.28956,-123.11501,9,9,8,9
